#   M	    K	    N	     v33
 3584	  512	 1280	0.019097
 3584	  512	 1536	0.019685
 3584	  512	 1792	0.022358
 3584	  512	 2048	0.023275
 3584	  512	 2304	0.024129
 3584	  512	 2560	0.030587
 3584	  512	 2816	0.032693
 3584	  512	 3072	0.034165
 3584	  512	 3328	0.035168
 3584	  512	 3584	0.036618
 3584	  512	 3840	0.043832
 3584	  512	 4096	0.050324
 3840	  512	  256	0.007063
 3840	  512	  512	0.008629
 3840	  512	  768	0.012339
 3840	  512	 1024	0.013831
 3840	  512	 1280	0.019273
 3840	  512	 1536	0.020669
 3840	  512	 1792	0.023001
 3840	  512	 2048	0.023689
 3840	  512	 2304	0.029784
 3840	  512	 2560	0.031381
 3840	  512	 2816	0.034139
 3840	  512	 3072	0.034799
 3840	  512	 3328	0.036607
 3840	  512	 3584	0.049339
 3840	  512	 3840	0.051152
 3840	  512	 4096	0.053098
 4096	  512	  256	0.006927
 4096	  512	  512	0.009012
 4096	  512	  768	0.012319
 4096	  512	 1024	0.014367
 4096	  512	 1280	0.019414
 4096	  512	 1536	0.022397
 4096	  512	 1792	0.023086
 4096	  512	 2048	0.026629
 4096	  512	 2304	0.030759
 4096	  512	 2560	0.033228
 4096	  512	 2816	0.034437
 4096	  512	 3072	0.035940
 4096	  512	 3328	0.050520
 4096	  512	 3584	0.051236
 4096	  512	 3840	0.051592
 4096	  512	 4096	0.054396
  256	  768	  256	0.005755
  256	  768	  512	0.005735
  256	  768	  768	0.006691
  256	  768	 1024	0.006675
  256	  768	 1280	0.006708
  256	  768	 1536	0.006738
  256	  768	 1792	0.006849
  256	  768	 2048	0.006717
  256	  768	 2304	0.007916
  256	  768	 2560	0.008148
  256	  768	 2816	0.008422
  256	  768	 3072	0.008564
  256	  768	 3328	0.008524
  256	  768	 3584	0.008658
  256	  768	 3840	0.008535
  256	  768	 4096	0.008539
  512	  768	  256	0.005714
  512	  768	  512	0.006664
  512	  768	  768	0.006758
  512	  768	 1024	0.006786
  512	  768	 1280	0.008309
  512	  768	 1536	0.008581
  512	  768	 1792	0.008715
  512	  768	 2048	0.008504
  512	  768	 2304	0.010071
  512	  768	 2560	0.010441
  512	  768	 2816	0.010125
  512	  768	 3072	0.010177
  512	  768	 3328	0.010513
  512	  768	 3584	0.010592
  512	  768	 3840	0.011313
  512	  768	 4096	0.010765
  768	  768	  256	0.006658
  768	  768	  512	0.006759
  768	  768	  768	0.008299
  768	  768	 1024	0.008391
  768	  768	 1280	0.008762
  768	  768	 1536	0.010416
  768	  768	 1792	0.010533
  768	  768	 2048	0.010584
  768	  768	 2304	0.011251
  768	  768	 2560	0.011319
  768	  768	 2816	0.016255
  768	  768	 3072	0.017731
  768	  768	 3328	0.017038
  768	  768	 3584	0.014035
  768	  768	 3840	0.016154
  768	  768	 4096	0.016040
 1024	  768	  256	0.006672
 1024	  768	  512	0.006785
 1024	  768	  768	0.008334
 1024	  768	 1024	0.010342
 1024	  768	 1280	0.010086
 1024	  768	 1536	0.010191
 1024	  768	 1792	0.011277
 1024	  768	 2048	0.010846
 1024	  768	 2304	0.017060
 1024	  768	 2560	0.013993
 1024	  768	 2816	0.016051
 1024	  768	 3072	0.017507
 1024	  768	 3328	0.016080
 1024	  768	 3584	0.016047
 1024	  768	 3840	0.017847
 1024	  768	 4096	0.016329
 1280	  768	  256	0.006726
 1280	  768	  512	0.008306
 1280	  768	  768	0.008753
 1280	  768	 1024	0.010176
 1280	  768	 1280	0.010662
 1280	  768	 1536	0.011000
 1280	  768	 1792	0.017171
 1280	  768	 2048	0.016071
 1280	  768	 2304	0.014099
 1280	  768	 2560	0.017609
 1280	  768	 2816	0.016067
 1280	  768	 3072	0.016204
 1280	  768	 3328	0.016439
 1280	  768	 3584	0.026193
 1280	  768	 3840	0.027949
 1280	  768	 4096	0.029272
 1536	  768	  256	0.006743
 1536	  768	  512	0.008452
 1536	  768	  768	0.010153
 1536	  768	 1024	0.010192
 1536	  768	 1280	0.011282
 1536	  768	 1536	0.016035
 1536	  768	 1792	0.016103
 1536	  768	 2048	0.016262
 1536	  768	 2304	0.020555
 1536	  768	 2560	0.016265
 1536	  768	 2816	0.017999
 1536	  768	 3072	0.026731
 1536	  768	 3328	0.029003
 1536	  768	 3584	0.029523
 1536	  768	 3840	0.030119
 1536	  768	 4096	0.028143
 1792	  768	  256	0.006894
 1792	  768	  512	0.008580
 1792	  768	  768	0.010158
 1792	  768	 1024	0.011221
 1792	  768	 1280	0.015872
 1792	  768	 1536	0.016095
 1792	  768	 1792	0.016137
 1792	  768	 2048	0.016119
 1792	  768	 2304	0.016243
 1792	  768	 2560	0.026027
 1792	  768	 2816	0.028946
 1792	  768	 3072	0.026634
 1792	  768	 3328	0.027563
 1792	  768	 3584	0.028948
 1792	  768	 3840	0.030543
 1792	  768	 4096	0.037450
 2048	  768	  256	0.006814
 2048	  768	  512	0.008296
 2048	  768	  768	0.010295
 2048	  768	 1024	0.010757
 2048	  768	 1280	0.016079
 2048	  768	 1536	0.016099
 2048	  768	 1792	0.020956
 2048	  768	 2048	0.016567
 2048	  768	 2304	0.027583
 2048	  768	 2560	0.029346
 2048	  768	 2816	0.029628
 2048	  768	 3072	0.031326
 2048	  768	 3328	0.034832
 2048	  768	 3584	0.031236
 2048	  768	 3840	0.034296
 2048	  768	 4096	0.032142
 2304	  768	  256	0.008346
 2304	  768	  512	0.010229
 2304	  768	  768	0.010841
 2304	  768	 1024	0.015913
 2304	  768	 1280	0.016032
 2304	  768	 1536	0.020516
 2304	  768	 1792	0.016504
 2304	  768	 2048	0.025888
 2304	  768	 2304	0.029509
 2304	  768	 2560	0.029682
 2304	  768	 2816	0.030531
 2304	  768	 3072	0.035007
 2304	  768	 3328	0.031670
 2304	  768	 3584	0.032682
 2304	  768	 3840	0.041017
 2304	  768	 4096	0.043753
 2560	  768	  256	0.008647
 2560	  768	  512	0.010562
 2560	  768	  768	0.011027
 2560	  768	 1024	0.014061
 2560	  768	 1280	0.016234
 2560	  768	 1536	0.016208
 2560	  768	 1792	0.026290
 2560	  768	 2048	0.029496
 2560	  768	 2304	0.027403
 2560	  768	 2560	0.033515
 2560	  768	 2816	0.030652
 2560	  768	 3072	0.032015
 2560	  768	 3328	0.033134
 2560	  768	 3584	0.049149
 2560	  768	 3840	0.049238
 2560	  768	 4096	0.049334
 2816	  768	  256	0.008303
 2816	  768	  512	0.010600
 2816	  768	  768	0.010792
 2816	  768	 1024	0.016075
 2816	  768	 1280	0.016257
 2816	  768	 1536	0.016432
 2816	  768	 1792	0.029772
 2816	  768	 2048	0.029880
 2816	  768	 2304	0.030606
 2816	  768	 2560	0.031339
 2816	  768	 2816	0.031680
 2816	  768	 3072	0.033197
 2816	  768	 3328	0.042881
 2816	  768	 3584	0.049611
 2816	  768	 3840	0.054913
 2816	  768	 4096	0.049459
 3072	  768	  256	0.008749
 3072	  768	  512	0.010436
 3072	  768	  768	0.016031
 3072	  768	 1024	0.016130
 3072	  768	 1280	0.017920
 3072	  768	 1536	0.025855
 3072	  768	 1792	0.026740
 3072	  768	 2048	0.030628
 3072	  768	 2304	0.030859
 3072	  768	 2560	0.031977
 3072	  768	 2816	0.034479
