#   M	    K	    N	     v33
 2048	 1024	 1024	0.014615
 2048	 1024	 1280	0.019940
 2048	 1024	 1536	0.020128
 2048	 1024	 1792	0.020048
 2048	 1024	 2048	0.020362
 2048	 1024	 2304	0.040802
 2048	 1024	 2560	0.032412
 2048	 1024	 2816	0.040859
 2048	 1024	 3072	0.036022
 2048	 1024	 3328	0.038760
 2048	 1024	 3584	0.049116
 2048	 1024	 3840	0.040882
 2048	 1024	 4096	0.052037
 2304	 1024	  256	0.010320
 2304	 1024	  512	0.012502
 2304	 1024	  768	0.012980
 2304	 1024	 1024	0.016846
 2304	 1024	 1280	0.017060
 2304	 1024	 1536	0.021557
 2304	 1024	 1792	0.021775
 2304	 1024	 2048	0.035667
 2304	 1024	 2304	0.040528
 2304	 1024	 2560	0.040734
 2304	 1024	 2816	0.041004
 2304	 1024	 3072	0.041423
 2304	 1024	 3328	0.041526
 2304	 1024	 3584	0.040983
 2304	 1024	 3840	0.054518
 2304	 1024	 4096	0.055386
 2560	 1024	  256	0.010114
 2560	 1024	  512	0.012641
 2560	 1024	  768	0.012918
 2560	 1024	 1024	0.021288
 2560	 1024	 1280	0.020067
 2560	 1024	 1536	0.020550
 2560	 1024	 1792	0.028670
 2560	 1024	 2048	0.037221
 2560	 1024	 2304	0.033962
 2560	 1024	 2560	0.038460
 2560	 1024	 2816	0.041428
 2560	 1024	 3072	0.041758
 2560	 1024	 3328	0.051445
 2560	 1024	 3584	0.055177
 2560	 1024	 3840	0.062089
 2560	 1024	 4096	0.060792
 2816	 1024	  256	0.009702
 2816	 1024	  512	0.012188
 2816	 1024	  768	0.013653
 2816	 1024	 1024	0.020386
 2816	 1024	 1280	0.020111
 2816	 1024	 1536	0.021776
 2816	 1024	 1792	0.040721
 2816	 1024	 2048	0.035543
 2816	 1024	 2304	0.041043
 2816	 1024	 2560	0.048057
 2816	 1024	 2816	0.041048
 2816	 1024	 3072	0.042198
 2816	 1024	 3328	0.065833
 2816	 1024	 3584	0.061675
 2816	 1024	 3840	0.060787
 2816	 1024	 4096	0.067508
 3072	 1024	  256	0.009666
 3072	 1024	  512	0.012205
 3072	 1024	  768	0.019967
 3072	 1024	 1024	0.021492
 3072	 1024	 1280	0.021663
 3072	 1024	 1536	0.033825
 3072	 1024	 1792	0.032598
 3072	 1024	 2048	0.041010
 3072	 1024	 2304	0.041343
 3072	 1024	 2560	0.045024
 3072	 1024	 2816	0.042706
 3072	 1024	 3072	0.062117
 3072	 1024	 3328	0.061948
 3072	 1024	 3584	0.061831
 3072	 1024	 3840	0.062416
 3072	 1024	 4096	0.064274
 3328	 1024	  256	0.009985
 3328	 1024	  512	0.013443
 3328	 1024	  768	0.020788
 3328	 1024	 1024	0.025347
 3328	 1024	 1280	0.020614
 3328	 1024	 1536	0.041743
 3328	 1024	 1792	0.034489
 3328	 1024	 2048	0.054724
 3328	 1024	 2304	0.049518
 3328	 1024	 2560	0.041734
 3328	 1024	 2816	0.058371
 3328	 1024	 3072	0.062893
 3328	 1024	 3328	0.062546
 3328	 1024	 3584	0.063241
 3328	 1024	 3840	0.064332
 3328	 1024	 4096	0.084677
 3584	 1024	  256	0.010251
 3584	 1024	  512	0.014199
 3584	 1024	  768	0.017712
 3584	 1024	 1024	0.026917
 3584	 1024	 1280	0.033553
 3584	 1024	 1536	0.032675
 3584	 1024	 1792	0.036498
 3584	 1024	 2048	0.060650
 3584	 1024	 2304	0.041356
 3584	 1024	 2560	0.054817
 3584	 1024	 2816	0.062512
 3584	 1024	 3072	0.062450
 3584	 1024	 3328	0.062477
 3584	 1024	 3584	0.063739
 3584	 1024	 3840	0.088403
 3584	 1024	 4096	0.084124
 3840	 1024	  256	0.010459
 3840	 1024	  512	0.013346
 3840	 1024	  768	0.020632
 3840	 1024	 1024	0.021729
 3840	 1024	 1280	0.031408
 3840	 1024	 1536	0.041136
 3840	 1024	 1792	0.045369
 3840	 1024	 2048	0.042017
 3840	 1024	 2304	0.052500
 3840	 1024	 2560	0.061082
 3840	 1024	 2816	0.060052
 3840	 1024	 3072	0.064103
 3840	 1024	 3328	0.067296
 3840	 1024	 3584	0.088110
 3840	 1024	 3840	0.084813
 3840	 1024	 4096	0.091927
 4096	 1024	  256	0.010914
 4096	 1024	  512	0.013747
 4096	 1024	  768	0.020232
 4096	 1024	 1024	0.035206
 4096	 1024	 1280	0.032266
 4096	 1024	 1536	0.035651
 4096	 1024	 1792	0.041936
 4096	 1024	 2048	0.050727
 4096	 1024	 2304	0.061890
 4096	 1024	 2560	0.062182
 4096	 1024	 2816	0.062331
 4096	 1024	 3072	0.063606
 4096	 1024	 3328	0.079613
 4096	 1024	 3584	0.082175
 4096	 1024	 3840	0.084623
 4096	 1024	 4096	0.085081
  256	 1280	  256	0.007247
  256	 1280	  512	0.007220
  256	 1280	  768	0.008532
  256	 1280	 1024	0.008534
  256	 1280	 1280	0.008794
  256	 1280	 1536	0.008842
  256	 1280	 1792	0.008938
  256	 1280	 2048	0.009135
  256	 1280	 2304	0.010899
  256	 1280	 2560	0.011314
  256	 1280	 2816	0.011749
  256	 1280	 3072	0.011050
  256	 1280	 3328	0.011130
  256	 1280	 3584	0.012133
  256	 1280	 3840	0.011200
  256	 1280	 4096	0.011224
  512	 1280	  256	0.007113
  512	 1280	  512	0.008570
  512	 1280	  768	0.008897
  512	 1280	 1024	0.009147
  512	 1280	 1280	0.011224
  512	 1280	 1536	0.011174
  512	 1280	 1792	0.014459
  512	 1280	 2048	0.011580
  512	 1280	 2304	0.013943
  512	 1280	 2560	0.013908
  512	 1280	 2816	0.013988
  512	 1280	 3072	0.014709
  512	 1280	 3328	0.015906
  512	 1280	 3584	0.015967
  512	 1280	 3840	0.015469
  512	 1280	 4096	0.014862
  768	 1280	  256	0.009072
  768	 1280	  512	0.009182
  768	 1280	  768	0.010947
  768	 1280	 1024	0.011106
  768	 1280	 1280	0.011178
  768	 1280	 1536	0.013880
  768	 1280	 1792	0.015945
  768	 1280	 2048	0.013974
  768	 1280	 2304	0.015899
  768	 1280	 2560	0.014884
  768	 1280	 2816	0.014930
  768	 1280	 3072	0.020028
  768	 1280	 3328	0.023836
  768	 1280	 3584	0.024836
  768	 1280	 3840	0.023932
  768	 1280	 4096	0.024962
 1024	 1280	  256	0.008583
 1024	 1280	  512	0.008936
 1024	 1280	  768	0.011165
 1024	 1280	 1024	0.011608
 1024	 1280	 1280	0.013991
 1024	 1280	 1536	0.014093
 1024	 1280	 1792	0.022788
 1024	 1280	 2048	0.016148
 1024	 1280	 2304	0.020107
 1024	 1280	 2560	0.023894
 1024	 1280	 2816	0.024874
 1024	 1280	 3072	0.023889
 1024	 1280	 3328	0.025152
 1024	 1280	 3584	0.040311
 1024	 1280	 3840	0.024372
 1024	 1280	 4096	0.025458
 1280	 1280	  256	0.008993
 1280	 1280	  512	0.011278
 1280	 1280	  768	0.011513
 1280	 1280	 1024	0.013982
 1280	 1280	 1280	0.015955
 1280	 1280	 1536	0.015970
 1280	 1280	 1792	0.024561
 1280	 1280	 2048	0.024929
 1280	 1280	 2304	0.023903
 1280	 1280	 2560	0.023957
 1280	 1280	 2816	0.025214
 1280	 1280	 3072	0.040950
 1280	 1280	 3328	0.025500
 1280	 1280	 3584	0.033911
 1280	 1280	 3840	0.035547
 1280	 1280	 4096	0.038945
 1536	 1280	  256	0.008914
 1536	 1280	  512	0.011088
 1536	 1280	  768	0.013975
 1536	 1280	 1024	0.014755
 1536	 1280	 1280	0.014919
 1536	 1280	 1536	0.024633
 1536	 1280	 1792	0.023948
 1536	 1280	 2048	0.020742
 1536	 1280	 2304	0.031033
 1536	 1280	 2560	0.025258
 1536	 1280	 2816	0.024742
 1536	 1280	 3072	0.034448
 1536	 1280	 3328	0.038545
 1536	 1280	 3584	0.048453
 1536	 1280	 3840	0.042173
 1536	 1280	 4096	0.049244
 1792	 1280	  256	0.008902
 1792	 1280	  512	0.011393
 1792	 1280	  768	0.014057
 1792	 1280	 1024	0.014843
 1792	 1280	 1280	0.023542
 1792	 1280	 1536	0.024990
 1792	 1280	 1792	0.020860
 1792	 1280	 2048	0.025652
 1792	 1280	 2304	0.027412
 1792	 1280	 2560	0.043763
 1792	 1280	 2816	0.049000
 1792	 1280	 3072	0.048156
 1792	 1280	 3328	0.048353
 1792	 1280	 3584	0.048598
 1792	 1280	 3840	0.047282
 1792	 1280	 4096	0.049346
 2048	 1280	  256	0.009195
 2048	 1280	  512	0.011744
 2048	 1280	  768	0.014778
 2048	 1280	 1024	0.015954
 2048	 1280	 1280	0.020136
 2048	 1280	 1536	0.025130
 2048	 1280	 1792	0.024402
 2048	 1280	 2048	0.025754
 2048	 1280	 2304	0.034437
 2048	 1280	 2560	0.048216
 2048	 1280	 2816	0.048318
 2048	 1280	 3072	0.048581
 2048	 1280	 3328	0.070547
 2048	 1280	 3584	0.048390
 2048	 1280	 3840	0.049983
 2048	 1280	 4096	0.051298
 2304	 1280	  256	0.012104
 2304	 1280	  512	0.017701
 2304	 1280	  768	0.015657
 2304	 1280	 1024	0.024502
 2304	 1280	 1280	0.024969
 2304	 1280	 1536	0.024324
 2304	 1280	 1792	0.025809
 2304	 1280	 2048	0.048140
 2304	 1280	 2304	0.048185
 2304	 1280	 2560	0.048301
 2304	 1280	 2816	0.048553
 2304	 1280	 3072	0.048908
 2304	 1280	 3328	0.049515
 2304	 1280	 3584	0.049946
 2304	 1280	 3840	0.072202
 2304	 1280	 4096	0.074553
 2560	 1280	  256	0.011480
 2560	 1280	  512	0.014468
 2560	 1280	  768	0.016028
 2560	 1280	 1024	0.024755
 2560	 1280	 1280	0.025019
 2560	 1280	 1536	0.025399
 2560	 1280	 1792	0.042662
 2560	 1280	 2048	0.049691
 2560	 1280	 2304	0.045423
 2560	 1280	 2560	0.048678
 2560	 1280	 2816	0.049179
 2560	 1280	 3072	0.049798
 2560	 1280	 3328	0.050825
 2560	 1280	 3584	0.074441
 2560	 1280	 3840	0.076116
 2560	 1280	 4096	0.074279
 2816	 1280	  256	0.011212
 2816	 1280	  512	0.016580
 2816	 1280	  768	0.016394
 2816	 1280	 1024	0.024045
 2816	 1280	 1280	0.025184
 2816	 1280	 1536	0.027371
 2816	 1280	 1792	0.038123
 2816	 1280	 2048	0.048979
 2816	 1280	 2304	0.048637
 2816	 1280	 2560	0.047633
 2816	 1280	 2816	0.049975
 2816	 1280	 3072	0.052771
 2816	 1280	 3328	0.068887
 2816	 1280	 3584	0.075981
 2816	 1280	 3840	0.086684
 2816	 1280	 4096	0.081668
 3072	 1280	  256	0.011067
 3072	 1280	  512	0.014165
 3072	 1280	  768	0.023745
 3072	 1280	 1024	0.023854
 3072	 1280	 1280	0.025338
 3072	 1280	 1536	0.047934
 3072	 1280	 1792	0.039795
 3072	 1280	 2048	0.048854
 3072	 1280	 2304	0.047751
 3072	 1280	 2560	0.049731
 3072	 1280	 2816	0.051127
 3072	 1280	 3072	0.074335
 3072	 1280	 3328	0.074893
 3072	 1280	 3584	0.075526
 3072	 1280	 3840	0.074875
 3072	 1280	 4096	0.076831
 3328	 1280	  256	0.012669
 3328	 1280	  512	0.016719
 3328	 1280	  768	0.024161
 3328	 1280	 1024	0.025074
 3328	 1280	 1280	0.025142
 3328	 1280	 1536	0.044723
 3328	 1280	 1792	0.048484
 3328	 1280	 2048	0.052617
 3328	 1280	 2304	0.049686
 3328	 1280	 2560	0.050219
 3328	 1280	 2816	0.072515
 3328	 1280	 3072	0.075413
 3328	 1280	 3328	0.073526
 3328	 1280	 3584	0.076661
 3328	 1280	 3840	0.076789
 3328	 1280	 4096	0.096779
 3584	 1280	  256	0.012538
 3584	 1280	  512	0.016525
 3584	 1280	  768	0.027563
 3584	 1280	 1024	0.025147
 3584	 1280	 1280	0.047672
 3584	 1280	 1536	0.039947
 3584	 1280	 1792	0.044392
 3584	 1280	 2048	0.072937
 3584	 1280	 2304	0.050313
 3584	 1280	 2560	0.073003
 3584	 1280	 2816	0.083359
 3584	 1280	 3072	0.074868
 3584	 1280	 3328	0.075978
 3584	 1280	 3584	0.079972
 3584	 1280	 3840	0.102610
 3584	 1280	 4096	0.100540
 3840	 1280	  256	0.011972
 3840	 1280	  512	0.016180
 3840	 1280	  768	0.020307
 3840	 1280	 1024	0.025700
 3840	 1280	 1280	0.035833
 3840	 1280	 1536	0.045788
 3840	 1280	 1792	0.052767
 3840	 1280	 2048	0.049673
 3840	 1280	 2304	0.066210
 3840	 1280	 2560	0.075349
 3840	 1280	 2816	0.111286
 3840	 1280	 3072	0.075422
 3840	 1280	 3328	0.092901
 3840	 1280	 3584	0.100042
 3840	 1280	 3840	0.101084
 3840	 1280	 4096	0.101926
 4096	 1280	  256	0.012507
 4096	 1280	  512	0.014945
 4096	 1280	  768	0.020555
 4096	 1280	 1024	0.025181
 4096	 1280	 1280	0.053345
 4096	 1280	 1536	0.048800
 4096	 1280	 1792	0.048077
 4096	 1280	 2048	0.052551
 4096	 1280	 2304	0.070874
 4096	 1280	 2560	0.075317
 4096	 1280	 2816	0.116036
 4096	 1280	 3072	0.080383
 4096	 1280	 3328	0.136102
 4096	 1280	 3584	0.100869
 4096	 1280	 3840	0.101570
 4096	 1280	 4096	0.103591
  256	 1536	  256	0.007894
  256	 1536	  512	0.007833
  256	 1536	  768	0.009492
  256	 1536	 1024	0.009727
  256	 1536	 1280	0.010464
  256	 1536	 1536	0.010573
  256	 1536	 1792	0.010034
  256	 1536	 2048	0.010324
  256	 1536	 2304	0.012319
  256	 1536	 2560	0.012333
  256	 1536	 2816	0.012389
  256	 1536	 3072	0.012420
  256	 1536	 3328	0.012445
  256	 1536	 3584	0.012595
  256	 1536	 3840	0.012515
  256	 1536	 4096	0.012497
  512	 1536	  256	0.007798
  512	 1536	  512	0.009504
  512	 1536	  768	0.010405
  512	 1536	 1024	0.009952
  512	 1536	 1280	0.012456
  512	 1536	 1536	0.012454
  512	 1536	 1792	0.012780
  512	 1536	 2048	0.013159
  512	 1536	 2304	0.015822
  512	 1536	 2560	0.015806
  512	 1536	 2816	0.015910
  512	 1536	 3072	0.015994
  512	 1536	 3328	0.016879
  512	 1536	 3584	0.016860
  512	 1536	 3840	0.018454
  512	 1536	 4096	0.031299
  768	 1536	  256	0.009903
  768	 1536	  512	0.009899
  768	 1536	  768	0.012325
  768	 1536	 1024	0.012371
  768	 1536	 1280	0.013157
  768	 1536	 1536	0.015793
  768	 1536	 1792	0.015975
  768	 1536	 2048	0.018489
  768	 1536	 2304	0.018209
  768	 1536	 2560	0.016909
  768	 1536	 2816	0.018237
  768	 1536	 3072	0.028173
  768	 1536	 3328	0.028257
  768	 1536	 3584	0.029744
  768	 1536	 3840	0.028721
  768	 1536	 4096	0.023785
 1024	 1536	  256	0.010064
 1024	 1536	  512	0.010071
 1024	 1536	  768	0.012630
 1024	 1536	 1024	0.013197
 1024	 1536	 1280	0.015898
 1024	 1536	 1536	0.016940
 1024	 1536	 1792	0.018369
 1024	 1536	 2048	0.017200
 1024	 1536	 2304	0.028408
 1024	 1536	 2560	0.023273
 1024	 1536	 2816	0.023667
 1024	 1536	 3072	0.028822
 1024	 1536	 3328	0.028868
 1024	 1536	 3584	0.028166
 1024	 1536	 3840	0.029198
 1024	 1536	 4096	0.029168
 1280	 1536	  256	0.010236
 1280	 1536	  512	0.012682
 1280	 1536	  768	0.012930
 1280	 1536	 1024	0.015774
 1280	 1536	 1280	0.016824
 1280	 1536	 1536	0.017014
 1280	 1536	 1792	0.027656
 1280	 1536	 2048	0.027926
 1280	 1536	 2304	0.023593
 1280	 1536	 2560	0.028954
 1280	 1536	 2816	0.028253
 1280	 1536	 3072	0.028905
 1280	 1536	 3328	0.029659
 1280	 1536	 3584	0.058142
 1280	 1536	 3840	0.059152
 1280	 1536	 4096	0.056108
 1536	 1536	  256	0.010286
 1536	 1536	  512	0.012546
 1536	 1536	  768	0.016055
 1536	 1536	 1024	0.016837
 1536	 1536	 1280	0.018399
 1536	 1536	 1536	0.027831
 1536	 1536	 1792	0.028702
 1536	 1536	 2048	0.029006
 1536	 1536	 2304	0.028950
 1536	 1536	 2560	0.029142
 1536	 1536	 2816	0.030654
 1536	 1536	 3072	0.056228
 1536	 1536	 3328	0.045259
 1536	 1536	 3584	0.057064
 1536	 1536	 3840	0.049531
 1536	 1536	 4096	0.056412
 1792	 1536	  256	0.010388
 1792	 1536	  512	0.012684
 1792	 1536	  768	0.016082
 1792	 1536	 1024	0.016988
 1792	 1536	 1280	0.027371
 1792	 1536	 1536	0.027818
 1792	 1536	 1792	0.028922
 1792	 1536	 2048	0.029041
 1792	 1536	 2304	0.029363
 1792	 1536	 2560	0.050788
 1792	 1536	 2816	0.043987
 1792	 1536	 3072	0.052624
 1792	 1536	 3328	0.049680
 1792	 1536	 3584	0.057002
 1792	 1536	 3840	0.057132
 1792	 1536	 4096	0.058088
 2048	 1536	  256	0.011037
 2048	 1536	  512	0.013272
 2048	 1536	  768	0.016149
 2048	 1536	 1024	0.017132
 2048	 1536	 1280	0.023321
 2048	 1536	 1536	0.029011
 2048	 1536	 1792	0.028421
 2048	 1536	 2048	0.029729
 2048	 1536	 2304	0.040045
 2048	 1536	 2560	0.045445
 2048	 1536	 2816	0.056227
 2048	 1536	 3072	0.056239
 2048	 1536	 3328	0.056512
 2048	 1536	 3584	0.057409
 2048	 1536	 3840	0.061053
 2048	 1536	 4096	0.063995
 2304	 1536	  256	0.012723
 2304	 1536	  512	0.018236
 2304	 1536	  768	0.018283
 2304	 1536	 1024	0.028198
 2304	 1536	 1280	0.028697
 2304	 1536	 1536	0.028265
 2304	 1536	 1792	0.029328
 2304	 1536	 2048	0.051225
 2304	 1536	 2304	0.051880
 2304	 1536	 2560	0.055938
 2304	 1536	 2816	0.057140
 2304	 1536	 3072	0.057611
 2304	 1536	 3328	0.058102
 2304	 1536	 3584	0.060632
 2304	 1536	 3840	0.103545
 2304	 1536	 4096	0.086711
 2560	 1536	  256	0.012876
 2560	 1536	  512	0.016406
 2560	 1536	  768	0.018480
 2560	 1536	 1024	0.028547
 2560	 1536	 1280	0.028854
 2560	 1536	 1536	0.046798
 2560	 1536	 1792	0.049917
 2560	 1536	 2048	0.051493
 2560	 1536	 2304	0.056091
 2560	 1536	 2560	0.061082
 2560	 1536	 2816	0.057961
 2560	 1536	 3072	0.061792
 2560	 1536	 3328	0.062069
 2560	 1536	 3584	0.090426
 2560	 1536	 3840	0.088690
 2560	 1536	 4096	0.086527
 2816	 1536	  256	0.013543
 2816	 1536	  512	0.017224
 2816	 1536	  768	0.018429
 2816	 1536	 1024	0.028683
 2816	 1536	 1280	0.029039
 2816	 1536	 1536	0.029741
 2816	 1536	 1792	0.044554
 2816	 1536	 2048	0.056401
 2816	 1536	 2304	0.056156
 2816	 1536	 2560	0.057014
 2816	 1536	 2816	0.058000
 2816	 1536	 3072	0.060512
 2816	 1536	 3328	0.080971
 2816	 1536	 3584	0.089503
 2816	 1536	 3840	0.101211
 2816	 1536	 4096	0.088364
 3072	 1536	  256	0.012538
 3072	 1536	  512	0.016209
 3072	 1536	  768	0.023133
 3072	 1536	 1024	0.028844
 3072	 1536	 1280	0.029087
 3072	 1536	 1536	0.051021
 3072	 1536	 1792	0.046497
 3072	 1536	 2048	0.056616
 3072	 1536	 2304	0.056713
 3072	 1536	 2560	0.059567
 3072	 1536	 2816	0.062485
 3072	 1536	 3072	0.087128
 3072	 1536	 3328	0.097620
 3072	 1536	 3584	0.089077
 3072	 1536	 3840	0.086651
 3072	 1536	 4096	0.090456
 3328	 1536	  256	0.012990
 3328	 1536	  512	0.018327
 3328	 1536	  768	0.023173
 3328	 1536	 1024	0.027925
 3328	 1536	 1280	0.029668
 3328	 1536	 1536	0.048033
 3328	 1536	 1792	0.049057
 3328	 1536	 2048	0.055930
 3328	 1536	 2304	0.061794
 3328	 1536	 2560	0.066379
 3328	 1536	 2816	0.080551
 3328	 1536	 3072	0.087784
 3328	 1536	 3328	0.088136
 3328	 1536	 3584	0.090065
 3328	 1536	 3840	0.095110
 3328	 1536	 4096	0.115804
 3584	 1536	  256	0.013775
 3584	 1536	  512	0.018647
 3584	 1536	  768	0.023373
 3584	 1536	 1024	0.028693
 3584	 1536	 1280	0.039965
 3584	 1536	 1536	0.046966
 3584	 1536	 1792	0.052907
 3584	 1536	 2048	0.058337
 3584	 1536	 2304	0.066072
 3584	 1536	 2560	0.080747
 3584	 1536	 2816	0.087227
 3584	 1536	 3072	0.087489
 3584	 1536	 3328	0.090062
 3584	 1536	 3584	0.094062
 3584	 1536	 3840	0.119613
 3584	 1536	 4096	0.121565
 3840	 1536	  256	0.014111
 3840	 1536	  512	0.018852
 3840	 1536	  768	0.023702
 3840	 1536	 1024	0.028776
 3840	 1536	 1280	0.041529
 3840	 1536	 1536	0.049274
 3840	 1536	 1792	0.056861
 3840	 1536	 2048	0.061195
 3840	 1536	 2304	0.082071
 3840	 1536	 2560	0.088313
 3840	 1536	 2816	0.086517
 3840	 1536	 3072	0.088911
 3840	 1536	 3328	0.091611
 3840	 1536	 3584	0.121021
 3840	 1536	 3840	0.123498
 3840	 1536	 4096	0.122802
 4096	 1536	  256	0.013168
 4096	 1536	  512	0.018497
 4096	 1536	  768	0.023940
 4096	 1536	 1024	0.029277
 4096	 1536	 1280	0.045693
 4096	 1536	 1536	0.052111
 4096	 1536	 1792	0.060787
 4096	 1536	 2048	0.063555
 4096	 1536	 2304	0.083334
 4096	 1536	 2560	0.089193
 4096	 1536	 2816	0.090441
 4096	 1536	 3072	0.093884
 4096	 1536	 3328	0.115082
 4096	 1536	 3584	0.120630
 4096	 1536	 3840	0.122506
 4096	 1536	 4096	0.122155
  256	 1792	  256	0.008851
  256	 1792	  512	0.009097
  256	 1792	  768	0.010544
  256	 1792	 1024	0.010531
  256	 1792	 1280	0.010891
  256	 1792	 1536	0.011024
  256	 1792	 1792	0.011111
  256	 1792	 2048	0.010970
  256	 1792	 2304	0.013998
  256	 1792	 2560	0.014032
  256	 1792	 2816	0.014059
  256	 1792	 3072	0.014061
  256	 1792	 3328	0.014066
  256	 1792	 3584	0.014151
  256	 1792	 3840	0.014159
  256	 1792	 4096	0.014223
  512	 1792	  256	0.008554
  512	 1792	  512	0.010529
  512	 1792	  768	0.011058
  512	 1792	 1024	0.011037
  512	 1792	 1280	0.014139
  512	 1792	 1536	0.014152
  512	 1792	 1792	0.014260
  512	 1792	 2048	0.014242
  512	 1792	 2304	0.017907
  512	 1792	 2560	0.017830
  512	 1792	 2816	0.017936
  512	 1792	 3072	0.018075
  512	 1792	 3328	0.020729
  512	 1792	 3584	0.020860
  512	 1792	 3840	0.020935
  512	 1792	 4096	0.020616
  768	 1792	  256	0.010551
  768	 1792	  512	0.010999
  768	 1792	  768	0.013850
  768	 1792	 1024	0.014160
  768	 1792	 1280	0.014199
  768	 1792	 1536	0.017853
  768	 1792	 1792	0.018060
  768	 1792	 2048	0.017940
  768	 1792	 2304	0.021000
  768	 1792	 2560	0.020749
  768	 1792	 2816	0.020961
  768	 1792	 3072	0.026315
  768	 1792	 3328	0.026501
  768	 1792	 3584	0.026872
  768	 1792	 3840	0.026727
  768	 1792	 4096	0.027577
 1024	 1792	  256	0.011121
 1024	 1792	  512	0.011086
 1024	 1792	  768	0.014170
 1024	 1792	 1024	0.014221
 1024	 1792	 1280	0.017870
 1024	 1792	 1536	0.018028
 1024	 1792	 1792	0.020887
 1024	 1792	 2048	0.021059
 1024	 1792	 2304	0.026352
 1024	 1792	 2560	0.026539
 1024	 1792	 2816	0.026960
 1024	 1792	 3072	0.027896
 1024	 1792	 3328	0.032753
 1024	 1792	 3584	0.033225
 1024	 1792	 3840	0.034328
 1024	 1792	 4096	0.035244
 1280	 1792	  256	0.011407
 1280	 1792	  512	0.014266
 1280	 1792	  768	0.014183
 1280	 1792	 1024	0.017758
 1280	 1792	 1280	0.020771
 1280	 1792	 1536	0.020431
 1280	 1792	 1792	0.026355
 1280	 1792	 2048	0.026881
 1280	 1792	 2304	0.026800
 1280	 1792	 2560	0.032559
 1280	 1792	 2816	0.032749
 1280	 1792	 3072	0.033584
 1280	 1792	 3328	0.037298
 1280	 1792	 3584	0.048395
 1280	 1792	 3840	0.050238
 1280	 1792	 4096	0.052513
 1536	 1792	  256	0.011362
 1536	 1792	  512	0.014259
 1536	 1792	  768	0.017905
 1536	 1792	 1024	0.018183
 1536	 1792	 1280	0.020985
 1536	 1792	 1536	0.026451
 1536	 1792	 1792	0.026775
 1536	 1792	 2048	0.027898
 1536	 1792	 2304	0.032986
 1536	 1792	 2560	0.033389
 1536	 1792	 2816	0.034167
 1536	 1792	 3072	0.048122
 1536	 1792	 3328	0.054005
 1536	 1792	 3584	0.055001
 1536	 1792	 3840	0.059456
 1536	 1792	 4096	0.060873
 1792	 1792	  256	0.011478
 1792	 1792	  512	0.014300
 1792	 1792	  768	0.018090
 1792	 1792	 1024	0.020611
 1792	 1792	 1280	0.026051
 1792	 1792	 1536	0.026682
 1792	 1792	 1792	0.027818
 1792	 1792	 2048	0.033739
 1792	 1792	 2304	0.033690
 1792	 1792	 2560	0.045741
 1792	 1792	 2816	0.052198
 1792	 1792	 3072	0.056025
 1792	 1792	 3328	0.059382
 1792	 1792	 3584	0.058621
 1792	 1792	 3840	0.066899
 1792	 1792	 4096	0.067044
 2048	 1792	  256	0.011257
 2048	 1792	  512	0.014214
 2048	 1792	  768	0.018142
 2048	 1792	 1024	0.020734
 2048	 1792	 1280	0.026522
 2048	 1792	 1536	0.027788
 2048	 1792	 1792	0.033611
 2048	 1792	 2048	0.034131
 2048	 1792	 2304	0.046580
 2048	 1792	 2560	0.054525
 2048	 1792	 2816	0.057989
 2048	 1792	 3072	0.061442
 2048	 1792	 3328	0.065853
 2048	 1792	 3584	0.066762
 2048	 1792	 3840	0.070170
 2048	 1792	 4096	0.072946
 2304	 1792	  256	0.016416
 2304	 1792	  512	0.017950
 2304	 1792	  768	0.020717
 2304	 1792	 1024	0.025964
 2304	 1792	 1280	0.027117
 2304	 1792	 1536	0.033368
 2304	 1792	 1792	0.034220
 2304	 1792	 2048	0.050358
 2304	 1792	 2304	0.053009
 2304	 1792	 2560	0.061791
 2304	 1792	 2816	0.063672
 2304	 1792	 3072	0.066470
 2304	 1792	 3328	0.068474
 2304	 1792	 3584	0.070138
 2304	 1792	 3840	0.089990
 2304	 1792	 4096	0.096172
 2560	 1792	  256	0.016514
 2560	 1792	  512	0.018035
 2560	 1792	  768	0.020851
 2560	 1792	 1024	0.026249
 2560	 1792	 1280	0.032215
 2560	 1792	 1536	0.033383
 2560	 1792	 1792	0.045800
 2560	 1792	 2048	0.052573
 2560	 1792	 2304	0.060038
 2560	 1792	 2560	0.070312
 2560	 1792	 2816	0.068247
 2560	 1792	 3072	0.068642
 2560	 1792	 3328	0.071093
 2560	 1792	 3584	0.089989
 2560	 1792	 3840	0.102507
 2560	 1792	 4096	0.104178
 2816	 1792	  256	0.015302
 2816	 1792	  512	0.018495
 2816	 1792	  768	0.020880
 2816	 1792	 1024	0.026905
 2816	 1792	 1280	0.033048
 2816	 1792	 1536	0.034322
 2816	 1792	 1792	0.051585
 2816	 1792	 2048	0.055853
 2816	 1792	 2304	0.066636
 2816	 1792	 2560	0.071686
 2816	 1792	 2816	0.069623
 2816	 1792	 3072	0.071306
 2816	 1792	 3328	0.091316
 2816	 1792	 3584	0.099937
 2816	 1792	 3840	0.106888
 2816	 1792	 4096	0.106706
 3072	 1792	  256	0.014981
 3072	 1792	  512	0.018373
 3072	 1792	  768	0.026420
 3072	 1792	 1024	0.027161
 3072	 1792	 1280	0.033223
 3072	 1792	 1536	0.047269
 3072	 1792	 1792	0.054269
 3072	 1792	 2048	0.062317
 3072	 1792	 2304	0.073969
 3072	 1792	 2560	0.071701
 3072	 1792	 2816	0.072352
