#   M	    K	    N	     v33
   32	 2048	 2560	0.015782
   40	 2048	 2560	0.015897
   48	 2048	 2560	0.015971
   56	 2048	 2560	0.016984
   64	 2048	 2560	0.016895
   72	 2048	 2560	0.017030
   80	 2048	 2560	0.016768
   88	 2048	 2560	0.017364
   96	 2048	 2560	0.017214
  104	 2048	 2560	0.018105
  112	 2048	 2560	0.018007
  120	 2048	 2560	0.018119
  128	 2048	 2560	0.018074
  136	 2048	 2560	0.018046
  144	 2048	 2560	0.017911
  152	 2048	 2560	0.018161
  160	 2048	 2560	0.018122
  168	 2048	 2560	0.018285
  176	 2048	 2560	0.017972
  184	 2048	 2560	0.018207
  192	 2048	 2560	0.018131
  200	 2048	 2560	0.020961
  208	 2048	 2560	0.020925
  216	 2048	 2560	0.021080
  224	 2048	 2560	0.021043
  232	 2048	 2560	0.021096
  240	 2048	 2560	0.020024
  248	 2048	 2560	0.020965
  256	 2048	 2560	0.020121
  272	 2048	 2560	0.020179
  288	 2048	 2560	0.020082
  304	 2048	 2560	0.020069
  320	 2048	 2560	0.020221
  336	 2048	 2560	0.020355
  352	 2048	 2560	0.020330
  368	 2048	 2560	0.020516
  384	 2048	 2560	0.020394
  400	 2048	 2560	0.024227
  416	 2048	 2560	0.024465
  432	 2048	 2560	0.024244
  448	 2048	 2560	0.024380
  464	 2048	 2560	0.024353
  480	 2048	 2560	0.024452
  496	 2048	 2560	0.024571
  512	 2048	 2560	0.024492
  768	 2048	 2560	0.027998
 1024	 2048	 2560	0.034275
 1536	 2048	 2560	0.041539
 2048	 2048	 2560	0.062866
 3072	 2048	 2560	0.078933
 4096	 2048	 2560	0.114828
 7168	 2048	 2560	0.186155
 8192	 2048	 2560	0.192066
11264	 2048	 2560	0.273528
12280	 2048	 2560	0.308445
15360	 2048	 2560	0.374827
16384	 2048	 2560	0.377675
    1	 2048	 3072	0.015587
    2	 2048	 3072	0.016130
    4	 2048	 3072	0.016366
    8	 2048	 3072	0.016034
   16	 2048	 3072	0.016246
   24	 2048	 3072	0.016248
   32	 2048	 3072	0.016384
   40	 2048	 3072	0.017135
   48	 2048	 3072	0.017127
   56	 2048	 3072	0.017011
   64	 2048	 3072	0.017434
   72	 2048	 3072	0.017289
   80	 2048	 3072	0.017538
   88	 2048	 3072	0.020585
   96	 2048	 3072	0.020727
  104	 2048	 3072	0.018251
  112	 2048	 3072	0.018414
  120	 2048	 3072	0.018261
  128	 2048	 3072	0.018352
  136	 2048	 3072	0.020435
  144	 2048	 3072	0.020281
  152	 2048	 3072	0.020678
  160	 2048	 3072	0.020266
  168	 2048	 3072	0.020685
  176	 2048	 3072	0.020242
  184	 2048	 3072	0.020565
  192	 2048	 3072	0.020307
  200	 2048	 3072	0.021176
  208	 2048	 3072	0.021382
  216	 2048	 3072	0.021365
  224	 2048	 3072	0.021370
  232	 2048	 3072	0.021532
  240	 2048	 3072	0.020331
  248	 2048	 3072	0.021583
  256	 2048	 3072	0.020595
  272	 2048	 3072	0.020438
  288	 2048	 3072	0.020543
  304	 2048	 3072	0.020439
  320	 2048	 3072	0.020585
  336	 2048	 3072	0.024662
  352	 2048	 3072	0.024547
  368	 2048	 3072	0.024383
  384	 2048	 3072	0.024562
  400	 2048	 3072	0.024710
  416	 2048	 3072	0.024861
  432	 2048	 3072	0.024592
  448	 2048	 3072	0.024748
  464	 2048	 3072	0.024873
  480	 2048	 3072	0.025019
  496	 2048	 3072	0.024839
  512	 2048	 3072	0.025080
  768	 2048	 3072	0.034141
 1024	 2048	 3072	0.034518
 1536	 2048	 3072	0.060711
 2048	 2048	 3072	0.069975
 3072	 2048	 3072	0.105782
 4096	 2048	 3072	0.118327
 7168	 2048	 3072	0.221067
 8192	 2048	 3072	0.227980
11264	 2048	 3072	0.304417
12280	 2048	 3072	0.356747
15360	 2048	 3072	0.440578
16384	 2048	 3072	0.510829
    1	 2048	37984	0.076108
    2	 2048	37984	0.071866
    4	 2048	37984	0.070799
    8	 2048	37984	0.070498
   16	 2048	37984	0.070789
   24	 2048	37984	0.071759
   32	 2048	37984	0.071778
   40	 2048	37984	0.071741
   48	 2048	37984	0.071999
   56	 2048	37984	0.072190
   64	 2048	37984	0.072228
   72	 2048	37984	0.081914
   80	 2048	37984	0.082019
   88	 2048	37984	0.082275
   96	 2048	37984	0.082466
  104	 2048	37984	0.082564
  112	 2048	37984	0.082694
  120	 2048	37984	0.082930
  128	 2048	37984	0.083490
  136	 2048	37984	0.108699
  144	 2048	37984	0.109058
  152	 2048	37984	0.108818
  160	 2048	37984	0.109353
  168	 2048	37984	0.109275
  176	 2048	37984	0.109443
  184	 2048	37984	0.109486
  192	 2048	37984	0.109168
  200	 2048	37984	0.119393
  208	 2048	37984	0.119565
  216	 2048	37984	0.119842
  224	 2048	37984	0.119788
  232	 2048	37984	0.120054
  240	 2048	37984	0.120058
  248	 2048	37984	0.120545
  256	 2048	37984	0.120438
  272	 2048	37984	0.148934
  288	 2048	37984	0.148691
  304	 2048	37984	0.149382
  320	 2048	37984	0.149497
  336	 2048	37984	0.155861
  352	 2048	37984	0.155790
  368	 2048	37984	0.156995
  384	 2048	37984	0.156744
  400	 2048	37984	0.190773
  416	 2048	37984	0.192534
  432	 2048	37984	0.193410
  448	 2048	37984	0.191992
  464	 2048	37984	0.197552
  480	 2048	37984	0.196892
  496	 2048	37984	0.199048
  512	 2048	37984	0.196281
  768	 2048	37984	0.277443
 1024	 2048	37984	0.375866
 1536	 2048	37984	0.571479
 2048	 2048	37984	0.733646
 3072	 2048	37984	1.082187
 4096	 2048	37984	1.454203
 7168	 2048	37984	2.630174
 8192	 2048	37984	2.909459
11264	 2048	37984	4.035876
12280	 2048	37984	4.603387
15360	 2048	37984	5.707712
16384	 2048	37984	5.812578
  384	  384	  384	0.009810
 4096	 4096	 4096	0.283569
 1024	 1024	 1024	0.015367
 2048	 2048	 2048	0.041851
 4096	 4096	 4096	0.282190
