#   M	    K	    N	    v3.3	  no_tma	 dev_tma	host_tma
 2560	  256	  768	0.006540	0.005761	0.007294	0.004667
 2560	  256	 1024	0.008589	0.007844	0.008873	0.005365
 2560	  256	 1280	0.008403	0.008234	0.009310	0.006100
 2560	  256	 1536	0.008723	0.008344	0.009436	0.006665
 2560	  256	 1792	0.012972	0.011848	0.013632	0.007866
 2560	  256	 2048	0.013072	0.011876	0.014221	0.007926
 2560	  256	 2304	0.013267	0.012063	0.015592	0.008955
 2560	  256	 2560	0.015196	0.014554	0.016239	0.010983
 2560	  256	 2816	0.015461	0.014791	0.016722	0.011469
 2560	  256	 3072	0.015634	0.015115	0.017329	0.011756
 2560	  256	 3328	0.016440	0.015413	0.017725	0.012276
 2560	  256	 3584	0.020098	0.018659	0.021324	0.013854
 2560	  256	 3840	0.020582	0.018930	0.022659	0.014515
 2560	  256	 4096	0.021120	0.019099	0.023381	0.014798
 2816	  256	  256	0.005469	0.004756	0.005913	0.003645
 2816	  256	  512	0.006358	0.005542	0.006926	0.004375
 2816	  256	  768	0.006506	0.005835	0.007305	0.004754
 2816	  256	 1024	0.008515	0.007755	0.009213	0.005530
 2816	  256	 1280	0.008452	0.008194	0.009222	0.006481
 2816	  256	 1536	0.008818	0.008588	0.009631	0.006926
 2816	  256	 1792	0.013405	0.012002	0.014062	0.008125
 2816	  256	 2048	0.013264	0.012023	0.015420	0.008829
 2816	  256	 2304	0.015332	0.012398	0.016174	0.009366
 2816	  256	 2560	0.017976	0.014829	0.016729	0.011956
 2816	  256	 2816	0.016159	0.014945	0.017448	0.011883
 2816	  256	 3072	0.016775	0.015716	0.017926	0.012523
 2816	  256	 3328	0.020206	0.018697	0.021543	0.014842
 2816	  256	 3584	0.020694	0.018989	0.023052	0.014658
 2816	  256	 3840	0.022352	0.020941	0.023640	0.015262
 2816	  256	 4096	0.022928	0.021649	0.024305	0.016317
 3072	  256	  256	0.005455	0.004755	0.006122	0.003482
 3072	  256	  512	0.006396	0.005625	0.007077	0.004380
 3072	  256	  768	0.008952	0.007878	0.008848	0.005266
 3072	  256	 1024	0.007994	0.007735	0.009266	0.005920
 3072	  256	 1280	0.008546	0.008364	0.009505	0.006659
 3072	  256	 1536	0.012963	0.011924	0.013790	0.008046
 3072	  256	 1792	0.014385	0.011978	0.014865	0.008395
 3072	  256	 2048	0.013818	0.012181	0.016049	0.009169
 3072	  256	 2304	0.015458	0.014851	0.016645	0.011386
 3072	  256	 2560	0.015636	0.015004	0.017326	0.011720
 3072	  256	 2816	0.016654	0.015632	0.017759	0.012947
 3072	  256	 3072	0.020234	0.018881	0.021624	0.014379
 3072	  256	 3328	0.021054	0.019111	0.023274	0.015154
 3072	  256	 3584	0.022583	0.021576	0.023843	0.015447
 3072	  256	 3840	0.022819	0.021989	0.024663	0.016101
 3072	  256	 4096	0.023598	0.022427	0.025641	0.016747
 3328	  256	  256	0.005479	0.004813	0.006153	0.003631
 3328	  256	  512	0.006456	0.005781	0.007107	0.004482
 3328	  256	  768	0.008663	0.007821	0.008925	0.005459
 3328	  256	 1024	0.008338	0.008056	0.009088	0.006153
 3328	  256	 1280	0.008782	0.008457	0.009603	0.006818
 3328	  256	 1536	0.013373	0.011919	0.014008	0.008146
 3328	  256	 1792	0.013315	0.012675	0.015730	0.009286
 3328	  256	 2048	0.015827	0.014682	0.016409	0.010770
 3328	  256	 2304	0.018622	0.014901	0.017324	0.011659
 3328	  256	 2560	0.016400	0.015363	0.017691	0.012223
 3328	  256	 2816	0.020250	0.018862	0.021408	0.014156
 3328	  256	 3072	0.021095	0.019078	0.023238	0.014995
 3328	  256	 3328	0.022538	0.021664	0.023965	0.015174
 3328	  256	 3584	0.025674	0.021942	0.024753	0.016082
 3328	  256	 3840	0.023702	0.022625	0.025830	0.016862
 3328	  256	 4096	0.027312	0.025666	0.028520	0.019747
 3584	  256	  256	0.005338	0.005178	0.006143	0.003767
 3584	  256	  512	0.006552	0.005661	0.007248	0.004484
 3584	  256	  768	0.008441	0.007705	0.009005	0.005450
 3584	  256	 1024	0.008406	0.008169	0.009174	0.006758
 3584	  256	 1280	0.012982	0.011864	0.013689	0.007788
 3584	  256	 1536	0.013163	0.011970	0.014844	0.008360
 3584	  256	 1792	0.013961	0.012361	0.016258	0.009327
 3584	  256	 2048	0.015494	0.014773	0.017161	0.011620
 3584	  256	 2304	0.017716	0.015163	0.017709	0.012033
 3584	  256	 2560	0.020077	0.018705	0.021168	0.014232
 3584	  256	 2816	0.020507	0.019032	0.022891	0.014520
 3584	  256	 3072	0.022468	0.021619	0.023841	0.015454
 3584	  256	 3328	0.023192	0.022738	0.025180	0.017317
 3584	  256	 3584	0.024269	0.022626	0.025834	0.016886
 3584	  256	 3840	0.032546	0.025936	0.029161	0.019960
 3584	  256	 4096	0.029034	0.026174	0.032546	0.020697
 3840	  256	  256	0.005391	0.004859	0.006197	0.003766
 3840	  256	  512	0.006488	0.005711	0.007251	0.005040
 3840	  256	  768	0.008496	0.007793	0.009183	0.005639
 3840	  256	 1024	0.008574	0.008286	0.009431	0.006974
 3840	  256	 1280	0.013360	0.011858	0.013911	0.007964
 3840	  256	 1536	0.013632	0.012096	0.015624	0.008973
 3840	  256	 1792	0.017400	0.014803	0.016585	0.011053
 3840	  256	 2048	0.015626	0.014907	0.017372	0.011839
 3840	  256	 2304	0.019842	0.018613	0.020836	0.013091
 3840	  256	 2560	0.020933	0.018916	0.022593	0.015323
 3840	  256	 2816	0.022744	0.020222	0.023712	0.015077
 3840	  256	 3072	0.026633	0.022043	0.024457	0.016113
 3840	  256	 3328	0.023682	0.022494	0.025877	0.016834
 3840	  256	 3584	0.027630	0.025834	0.029088	0.019882
 3840	  256	 3840	0.033200	0.026424	0.032059	0.020847
 3840	  256	 4096	0.030347	0.029069	0.033871	0.021631
 4096	  256	  256	0.005458	0.004960	0.006198	0.003479
 4096	  256	  512	0.006603	0.005788	0.007348	0.004787
 4096	  256	  768	0.008433	0.007794	0.009214	0.005724
 4096	  256	 1024	0.008764	0.008449	0.009588	0.007165
 4096	  256	 1280	0.014094	0.011980	0.014225	0.008270
 4096	  256	 1536	0.013788	0.012309	0.016071	0.009233
 4096	  256	 1792	0.015528	0.014900	0.016894	0.011697
 4096	  256	 2048	0.017743	0.015130	0.017796	0.012163
 4096	  256	 2304	0.020247	0.018894	0.021609	0.014640
 4096	  256	 2560	0.021440	0.020132	0.023422	0.014927
 4096	  256	 2816	0.022924	0.021782	0.024376	0.016707
 4096	  256	 3072	0.023467	0.022629	0.025813	0.016689
 4096	  256	 3328	0.032172	0.025690	0.028445	0.019676
 4096	  256	 3584	0.028566	0.026329	0.032230	0.020678
 4096	  256	 3840	0.030267	0.029127	0.033606	0.021861
 4096	  256	 4096	0.031271	0.029904	0.035533	0.022658
  256	  512	  256	0.005335	0.004947	0.006126	0.003203
  256	  512	  512	0.005399	0.004780	0.006098	0.003247
  256	  512	  768	0.005430	0.004855	0.006189	0.003432
  256	  512	 1024	0.005455	0.004867	0.006024	0.003381
  256	  512	 1280	0.005509	0.004901	0.006359	0.004050
  256	  512	 1536	0.005574	0.004940	0.006436	0.003567
  256	  512	 1792	0.005597	0.004991	0.006230	0.003591
  256	  512	 2048	0.005519	0.005000	0.006476	0.003618
  256	  512	 2304	0.006690	0.006346	0.006722	0.004436
  256	  512	 2560	0.006734	0.006360	0.006776	0.004467
  256	  512	 2816	0.006792	0.006321	0.008147	0.004316
  256	  512	 3072	0.006768	0.006373	0.006921	0.004345
  256	  512	 3328	0.006839	0.006387	0.007057	0.004370
  256	  512	 3584	0.006924	0.006414	0.007237	0.004532
  256	  512	 3840	0.006894	0.006372	0.007268	0.004487
  256	  512	 4096	0.006865	0.005895	0.007206	0.004472
  512	  512	  256	0.005393	0.004821	0.006162	0.003324
  512	  512	  512	0.005436	0.004852	0.006182	0.003450
  512	  512	  768	0.005527	0.004976	0.006408	0.004269
  512	  512	 1024	0.005564	0.004963	0.006457	0.003648
  512	  512	 1280	0.006819	0.006404	0.007792	0.004437
  512	  512	 1536	0.006841	0.005939	0.007206	0.005303
  512	  512	 1792	0.006943	0.006428	0.007114	0.004154
  512	  512	 2048	0.006911	0.006430	0.007093	0.004551
  512	  512	 2304	0.008186	0.006873	0.008131	0.005383
  512	  512	 2560	0.008183	0.007001	0.009460	0.005550
  512	  512	 2816	0.008207	0.007034	0.009488	0.005410
  512	  512	 3072	0.008265	0.007105	0.008791	0.005492
  512	  512	 3328	0.008869	0.007642	0.008560	0.005758
  512	  512	 3584	0.008475	0.007966	0.008630	0.005737
  512	  512	 3840	0.008595	0.007491	0.008722	0.005737
  512	  512	 4096	0.008773	0.007517	0.008699	0.005990
  768	  512	  256	0.005413	0.004821	0.006169	0.004201
  768	  512	  512	0.005517	0.004958	0.006474	0.003568
  768	  512	  768	0.006792	0.006415	0.006582	0.003987
  768	  512	 1024	0.006829	0.006367	0.006817	0.004036
  768	  512	 1280	0.006928	0.005883	0.007128	0.004168
  768	  512	 1536	0.008766	0.009813	0.009330	0.005396
  768	  512	 1792	0.008727	0.007043	0.008483	0.005396
  768	  512	 2048	0.008486	0.007321	0.008549	0.005444
  768	  512	 2304	0.008545	0.007171	0.008617	0.005641
  768	  512	 2560	0.008593	0.007459	0.008678	0.005741
  768	  512	 2816	0.008658	0.007287	0.008821	0.005851
  768	  512	 3072	0.012219	0.011030	0.011158	0.006936
  768	  512	 3328	0.012197	0.011058	0.011157	0.006961
  768	  512	 3584	0.012228	0.011297	0.011143	0.007399
  768	  512	 3840	0.012255	0.011320	0.011419	0.007271
  768	  512	 4096	0.012263	0.011452	0.011266	0.007612
 1024	  512	  256	0.005436	0.004844	0.006204	0.003525
 1024	  512	  512	0.005569	0.004945	0.006450	0.004284
 1024	  512	  768	0.006872	0.006473	0.006869	0.004566
 1024	  512	 1024	0.006888	0.006493	0.007174	0.004172
 1024	  512	 1280	0.008712	0.007003	0.008614	0.005489
 1024	  512	 1536	0.008554	0.007943	0.008798	0.005488
 1024	  512	 1792	0.008928	0.007213	0.008498	0.005719
 1024	  512	 2048	0.008879	0.007574	0.008564	0.005818
 1024	  512	 2304	0.012182	0.011086	0.011134	0.007044
 1024	  512	 2560	0.012217	0.010394	0.011328	0.006996
 1024	  512	 2816	0.012205	0.011658	0.011170	0.007198
 1024	  512	 3072	0.012279	0.010454	0.013102	0.008241
 1024	  512	 3328	0.016247	0.011421	0.011333	0.008588
 1024	  512	 3584	0.013571	0.011421	0.011614	0.008876
 1024	  512	 3840	0.012258	0.011749	0.011780	0.008799
 1024	  512	 4096	0.012471	0.011603	0.012907	0.009095
 1280	  512	  256	0.005487	0.004864	0.006361	0.003572
 1280	  512	  512	0.006866	0.006392	0.006860	0.004462
 1280	  512	  768	0.006949	0.006489	0.007116	0.004222
 1280	  512	 1024	0.008230	0.006996	0.008642	0.005503
 1280	  512	 1280	0.008641	0.007150	0.008489	0.005528
 1280	  512	 1536	0.008671	0.007461	0.008683	0.006124
 1280	  512	 1792	0.012094	0.015511	0.010981	0.006946
 1280	  512	 2048	0.012198	0.011225	0.011294	0.006997
 1280	  512	 2304	0.012219	0.011348	0.011252	0.007429
 1280	  512	 2560	0.012193	0.011283	0.011419	0.008210
 1280	  512	 2816	0.012192	0.011539	0.012274	0.008554
 1280	  512	 3072	0.012284	0.011747	0.011727	0.009956
 1280	  512	 3328	0.012454	0.011752	0.011903	0.009175
 1280	  512	 3584	0.021647	0.016612	0.017149	0.010984
 1280	  512	 3840	0.018586	0.016742	0.017666	0.011849
 1280	  512	 4096	0.020013	0.021004	0.018622	0.011189
