#   M	    K	    N	     v33
16384	 2048	  512	0.083728
    1	 2048	 2560	0.008968
    2	 2048	 2560	0.010110
    4	 2048	 2560	0.009798
    8	 2048	 2560	0.009765
   16	 2048	 2560	0.009746
   24	 2048	 2560	0.009674
   32	 2048	 2560	0.009751
   40	 2048	 2560	0.009779
   48	 2048	 2560	0.009742
   56	 2048	 2560	0.011410
   64	 2048	 2560	0.011409
   72	 2048	 2560	0.011483
   80	 2048	 2560	0.011465
   88	 2048	 2560	0.011509
   96	 2048	 2560	0.011504
  104	 2048	 2560	0.012000
  112	 2048	 2560	0.012033
  120	 2048	 2560	0.012017
  128	 2048	 2560	0.012053
  136	 2048	 2560	0.012184
  144	 2048	 2560	0.012160
  152	 2048	 2560	0.012125
  160	 2048	 2560	0.012171
  168	 2048	 2560	0.012150
  176	 2048	 2560	0.012162
  184	 2048	 2560	0.012171
  192	 2048	 2560	0.012164
  200	 2048	 2560	0.014942
  208	 2048	 2560	0.014915
  216	 2048	 2560	0.014912
  224	 2048	 2560	0.014890
  232	 2048	 2560	0.016315
  240	 2048	 2560	0.015014
  248	 2048	 2560	0.016277
  256	 2048	 2560	0.015039
  272	 2048	 2560	0.015108
  288	 2048	 2560	0.015116
  304	 2048	 2560	0.015124
  320	 2048	 2560	0.015162
  336	 2048	 2560	0.015139
  352	 2048	 2560	0.015124
  368	 2048	 2560	0.015162
  384	 2048	 2560	0.015175
  400	 2048	 2560	0.019616
  416	 2048	 2560	0.019633
  432	 2048	 2560	0.019628
  448	 2048	 2560	0.019644
  464	 2048	 2560	0.019726
  480	 2048	 2560	0.019735
  496	 2048	 2560	0.019738
  512	 2048	 2560	0.019780
  768	 2048	 2560	0.023106
 1024	 2048	 2560	0.029491
 1536	 2048	 2560	0.037458
 2048	 2048	 2560	0.061170
 3072	 2048	 2560	0.081352
 4096	 2048	 2560	0.121462
 7168	 2048	 2560	0.200059
 8192	 2048	 2560	0.200972
11264	 2048	 2560	0.275958
12280	 2048	 2560	0.332636
15360	 2048	 2560	0.398062
16384	 2048	 2560	0.392831
    1	 2048	 3072	0.009073
    2	 2048	 3072	0.010121
    4	 2048	 3072	0.009833
    8	 2048	 3072	0.009786
   16	 2048	 3072	0.009316
   24	 2048	 3072	0.009791
   32	 2048	 3072	0.009807
   40	 2048	 3072	0.011449
   48	 2048	 3072	0.011479
   56	 2048	 3072	0.011568
   64	 2048	 3072	0.011550
   72	 2048	 3072	0.011604
   80	 2048	 3072	0.011627
   88	 2048	 3072	0.015189
   96	 2048	 3072	0.015206
  104	 2048	 3072	0.012194
  112	 2048	 3072	0.012190
  120	 2048	 3072	0.012268
  128	 2048	 3072	0.012240
  136	 2048	 3072	0.015816
  144	 2048	 3072	0.015072
  152	 2048	 3072	0.015491
  160	 2048	 3072	0.015070
  168	 2048	 3072	0.015419
  176	 2048	 3072	0.015036
  184	 2048	 3072	0.015530
  192	 2048	 3072	0.015100
  200	 2048	 3072	0.015179
  208	 2048	 3072	0.015180
  216	 2048	 3072	0.015183
  224	 2048	 3072	0.015158
  232	 2048	 3072	0.016753
  240	 2048	 3072	0.015113
  248	 2048	 3072	0.016767
  256	 2048	 3072	0.015130
  272	 2048	 3072	0.015235
  288	 2048	 3072	0.015227
  304	 2048	 3072	0.015289
  320	 2048	 3072	0.015338
  336	 2048	 3072	0.019718
  352	 2048	 3072	0.019750
  368	 2048	 3072	0.019769
  384	 2048	 3072	0.019756
  400	 2048	 3072	0.019826
  416	 2048	 3072	0.019970
  432	 2048	 3072	0.020132
  448	 2048	 3072	0.020144
  464	 2048	 3072	0.020021
  480	 2048	 3072	0.020112
  496	 2048	 3072	0.020377
  512	 2048	 3072	0.020178
  768	 2048	 3072	0.029417
 1024	 2048	 3072	0.031442
 1536	 2048	 3072	0.054696
 2048	 2048	 3072	0.069968
 3072	 2048	 3072	0.106809
 4096	 2048	 3072	0.123598
 7168	 2048	 3072	0.238490
 8192	 2048	 3072	0.239598
11264	 2048	 3072	0.317171
12280	 2048	 3072	0.371019
15360	 2048	 3072	0.465691
16384	 2048	 3072	0.513620
    1	 2048	37984	0.065936
    2	 2048	37984	0.058509
    4	 2048	37984	0.058653
    8	 2048	37984	0.057828
   16	 2048	37984	0.058361
   24	 2048	37984	0.059490
   32	 2048	37984	0.060217
   40	 2048	37984	0.060102
   48	 2048	37984	0.060395
   56	 2048	37984	0.060901
   64	 2048	37984	0.061206
   72	 2048	37984	0.072426
   80	 2048	37984	0.074311
   88	 2048	37984	0.073808
   96	 2048	37984	0.073734
  104	 2048	37984	0.074138
  112	 2048	37984	0.073968
  120	 2048	37984	0.073767
  128	 2048	37984	0.075185
  136	 2048	37984	0.104347
  144	 2048	37984	0.104768
  152	 2048	37984	0.105172
  160	 2048	37984	0.104151
  168	 2048	37984	0.105775
  176	 2048	37984	0.105643
  184	 2048	37984	0.105381
  192	 2048	37984	0.105659
  200	 2048	37984	0.120381
  208	 2048	37984	0.120647
  216	 2048	37984	0.121739
  224	 2048	37984	0.122974
  232	 2048	37984	0.121048
  240	 2048	37984	0.120594
  248	 2048	37984	0.122624
  256	 2048	37984	0.121111
  272	 2048	37984	0.155254
  288	 2048	37984	0.153475
  304	 2048	37984	0.152455
  320	 2048	37984	0.153738
  336	 2048	37984	0.167118
  352	 2048	37984	0.164897
  368	 2048	37984	0.163643
  384	 2048	37984	0.162490
  400	 2048	37984	0.207790
  416	 2048	37984	0.213010
  432	 2048	37984	0.212351
  448	 2048	37984	0.211102
  464	 2048	37984	0.207967
  480	 2048	37984	0.209527
  496	 2048	37984	0.213256
  512	 2048	37984	0.214518
  768	 2048	37984	0.297474
 1024	 2048	37984	0.379984
 1536	 2048	37984	0.585994
 2048	 2048	37984	0.750776
 3072	 2048	37984	1.100761
 4096	 2048	37984	1.464852
 7168	 2048	37984	2.581471
 8192	 2048	37984	2.970735
11264	 2048	37984	4.058181
12280	 2048	37984	4.542989
15360	 2048	37984	5.567942
16384	 2048	37984	5.847169
  384	  384	  384	0.005271
 4096	 4096	 4096	0.292879
 1024	 1024	 1024	0.010384
 2048	 2048	 2048	0.039484
 4096	 4096	 4096	0.293609
